Sample_Name,Sample_Plate,Sample_Group,Pool_ID,Sample_Well,Array,Slide,Comments
TCGA-FY-A4B0-01,NA,tumor,NA,NA,R02C01,8795194031,TCGA thyroid
TCGA-E8-A44K-01,NA,tumor,NA,NA,R03C01,8795194031,TCGA thyroid
TCGA-BJ-A45G-01,NA,tumor,NA,NA,R01C01,8795194031,TCGA thyroid
